Giới thiệu,Diện tích,Giá nhà,Địa chỉ,Ngày đăng,Link,Pháp lý,index_,Mô tả
"LÊ THANH NGHỊ-ĐỒNG TÂM, 40m2x5T, 6P cho thuê, 2 thoáng, cách phố 20m",40 m2 6 PN 6 WC,4 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",25/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/le-thanh-nghi-dong-tam-40m2x5t-6p-cho-thue-2-thoang-cach-pho-20m-id21350474,Sổ đỏ,67,
"Bán nhà phố Tạ Quang Bửu, 39m2x5T, cách đường TQB 20m,thoáng trước sau",39 m2 4 PN 4 WC,4 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",25/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-ta-quang-buu-39m2x5t-cach-duong-tqb-20m-thoang-truoc-sau-id21342495,Sổ đỏ,68,
"Lê Thanh Nghị, 50m2x5T, MT 5M - ÔTÔ VÀO- KINH DOANH, SPA, VĂN PHÒNG",50 m2 4 PN 4 WC,9 tỷ 350 triệu,"Quận Hai Bà Trưng, Hà Nội",25/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/le-thanh-nghi-50m2x5t-mt-5m-oto-vao-kinh-doanh-spa-van-phong-id21343608,Sổ đỏ,69,
"Bán nhà Bách Khoa, 52m2x5T, MT 4,5m, cách phố 50m, 3 mặt thoáng",52 m2 3 PN 4 WC,5 tỷ 600 triệu,"Quận Hai Bà Trưng, Hà Nội",25/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-bach-khoa-52m2x5t-mt-4-5m-cach-pho-50m-3-mat-thoang-id21376835,Sổ đỏ,70,
"Cần bán gấp nhà khu PL Lê Thanh Nghị giá 8.6 tỷ, 60mx4T, Oto vào",60 m2 4 PN 4 WC,8 tỷ 600 triệu,"Quận Hai Bà Trưng, Hà Nội",24/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/can-ban-gap-nha-khu-pl-le-thanh-nghi-gia-8-6-ty-60mx4t-oto-vao-id21188091,Sổ đỏ,71,
"Cần bán gấp Mặt ngõ Tạ Quang Bửu giá 3.9 tỷ, 32mx4T, ngõ nông",32 m2 3 PN 4 WC,3 tỷ 900 triệu,"Quận Hai Bà Trưng, Hà Nội",24/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/can-ban-gap-mat-ngo-ta-quang-buu-gia-3-9-ty-32mx4t-ngo-nong-id21273003,Sổ đỏ,72,
"Bán gấp Mặt phố Trần Đại Nghĩa giá 24.2 tỷ, 110m2, MT 7m, Hè rộng",110 m2 1 PN 1 WC,24 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",24/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-gap-mat-pho-tran-dai-nghia-gia-24-2-ty-110m2-mt-7m-he-rong-id21259452,Sổ đỏ,73,
"Bán gấp nhà Mặt ngõ Giải Phóng giá 1.2 tỷ, 35mx2 tầng, MT 4m.",35 m2 2 PN 2 WC,1 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",23/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-gap-nha-mat-ngo-giai-phong-gia-1-2-ty-35mx2-tang-mt-4m-id21302228,Sổ đỏ,74,
"Bán nhà Lê Thanh Nghị 50m2x4T, lô góc 2 mặt tiền, kinh doanh sầm uất",50 m2 3 PN 4 WC,5 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",23/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-le-thanh-nghi-50m2x4t-lo-goc-2-mat-tien-kinh-doanh-sam-uat-id21360182,Sổ đỏ,75,
"Bán nhà Mới đẹp, Mặt ngõ lê Thanh Nghị giá 4.2 tỷ, 40mx5 tầng, có sổ",40 m2 5 PN 5 WC,4 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",23/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-moi-dep-mat-ngo-le-thanh-nghi-gia-4-2-ty-40mx5-tang-co-so-id21360485,Sổ đỏ,76,
"Cần bán gấp Mặt phố Đại Cồ Việt giá 6.8 tỷ, 25m2, căn góc, KD tốt",25 m2 1 PN 1 WC,6 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",23/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/can-ban-gap-mat-pho-dai-co-viet-gia-6-8-ty-25m2-can-goc-kd-tot-id21238393,Sổ đỏ,77,
"Bán gấp CH tập thể Bách Khoa giá 2.15 tỷm 90m2, SĐCC, giao ngay",90 m2 2 PN 1 WC,2 tỷ 150 triệu,"Quận Hai Bà Trưng, Hà Nội",23/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-gap-ch-tap-the-bach-khoa-gia-2-15-tym-90m2-sdcc-giao-ngay-id21299740,Sổ đỏ,78,
"Phân lô Giải Phóng giá 7.7 tỷ, 55m2, MT 7m, 3 mặt thoáng, Oto vào",55 m2 3 PN 3 WC,7 tỷ 700 triệu,"Quận Hai Bà Trưng, Hà Nội",23/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/phan-lo-giai-phong-gia-7-7-ty-55m2-mt-7m-3-mat-thoang-oto-vao-id21308607,Sổ đỏ,79,
"Bán nhà riêng, Phố Tạ Quang Bửu giá 4.4 tỷ, 40mx4 tầng, ngõ nông",40 m2 4 PN 4 WC,4 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",23/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-rieng-pho-ta-quang-buu-gia-4-4-ty-40mx4-tang-ngo-nong-id21361130,Sổ đỏ,80,
"Bán gấp Mặt phố Lê Thanh Nghị giá 18.5 tỷ, 50mx5 tầng, MT 7m, KD lớn",50 m2 5 PN 5 WC,18 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",21/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-gap-mat-pho-le-thanh-nghi-gia-18-5-ty-50mx5-tang-mt-7m-kd-lon-id21200640,Sổ đỏ,81,
"Bán nhà ngõ 327 Trần Đại Nghĩa 30m2, gần phố, chủ tặng nội thất 200tr",30 m2 3 PN 3 WC,2 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",01/09/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-ngo-327-tran-dai-nghia-30m2-gan-pho-chu-tang-noi-that-200tr-id21359337,Sổ đỏ,82,
"Nhỉnh 10 TỶ NHÀ MẶT PHỐ Trần Đại Nghĩa, HBT - 40m2x5T KD sầm uất",40 m2 4 PN 4 WC,10 tỷ,"Quận Hai Bà Trưng, Hà Nội",01/09/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nhinh-10-ty-nha-mat-pho-tran-dai-nghia-hbt-40m2x5t-kd-sam-uat-id21150064,Sổ đỏ,83,
"NHỈNH 10 tỷ nhà MẶT PHỐ ĐẠI CỒ VIỆT gần BÀ TRIỆU - 40m2,5 tầng mới đẹp",40 m2 4 PN 4 WC,10 tỷ,"Quận Hai Bà Trưng, Hà Nội",01/09/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nhinh-10-ty-nha-mat-pho-dai-co-viet-gan-ba-trieu-40m2-5-tang-moi-dep-id21148170,Sổ đỏ,84,
"Bán nhà phố Nguyễn An Ninh, vỉa hè KD sầm uất, 60m2x5T nhỉnh 10 tỷ",60 m2 4 PN 4 WC,10 tỷ,"Quận Hai Bà Trưng, Hà Nội",01/09/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-pho-nguyen-an-ninh-via-he-kd-sam-uat-60m2x5t-nhinh-10-ty-id20976973,Sổ đỏ,85,
"Bán nhà phố Tạ Quang Bửu,40m2 kinh doanh sầm uất, nhiều trường ĐH 8 tỷ",40 m2 5 PN 5 WC,8 tỷ,"Quận Hai Bà Trưng, Hà Nội",01/09/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-pho-ta-quang-buu-40m2-kinh-doanh-sam-uat-nhieu-truong-dh-8-ty-id21112302,Sổ đỏ,86,
"Bán nhà phố Lê Thanh Nghị,sầm uất ngày đêm,Mặt tiền khủng 8m hơn 10 tỷ",60 m2 5 PN 5 WC,18 tỷ,"Quận Hai Bà Trưng, Hà Nội",01/09/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-pho-le-thanh-nghi-sam-uat-ngay-dem-mat-tien-khung-8m-hon-10-ty-id21065822,Sổ đỏ,87,
"Bán nhà MP vip Lê Thanh Nghị, phố công nghệ: 88m, 5T , MT 7m, 26 tỷ",88 m2 5 PN 5 WC,26 tỷ,"Quận Hai Bà Trưng, Hà Nội",01/09/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mp-vip-le-thanh-nghi-pho-cong-nghe-88m-5t-mt-7m-26-ty-id21251908,Sổ đỏ,88,
"Bán nhà phố Tạ Quang Bửu 10m ra phố , phân lô KD 40m2x5T 3,8 tỷ",40 m2 6 PN 4 WC,3 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",31/08/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-ta-quang-buu-10m-ra-pho-phan-lo-kd-40m2x5t-3-8-ty-id21129840,Sổ đỏ,89,
"Chính chủ bán nhà Phân lô Cán bộ Bách Khoa, 38m2, ngõ thông hơn 3 tỷ.",40 m2 6 PN 4 WC,3 tỷ 900 triệu,"Quận Hai Bà Trưng, Hà Nội",31/08/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/chinh-chu-ban-nha-phan-lo-can-bo-bach-khoa-38m2-ngo-thong-hon-3-ty-id21129836,Sổ đỏ,90,
"Chính chủ bán nhà Phân lô Cán bộ Bách Khoa,38m2x5T 8 phòng hơn 3 tỷ.",38 m2 8 PN 4 WC,3 tỷ 900 triệu,"Quận Hai Bà Trưng, Hà Nội",31/08/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/chinh-chu-ban-nha-phan-lo-can-bo-bach-khoa-38m2x5t-8-phong-hon-3-ty-id21129260,Sổ đỏ,91,
"Bán nhà đẹp, dân trí cao Lê Thanh Nghị, Bách Khoa 28m2x5T chào 2.35 tỷ",28 m2 3 PN 3 WC,2 tỷ 300 triệu,"Quận Hai Bà Trưng, Hà Nội",31/08/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-dep-dan-tri-cao-le-thanh-nghi-bach-khoa-28m2x5t-chao-2-35-ty-id21321648,Sổ đỏ,92,
"Bán Nhà MỚI ĐẸP NGAY NGÃ TƯ LÊ THANH NGHỊ, GẦN PHỐ, 45m2x5T nhỉnh 5 tỷ",45 m2 5 PN 4 WC,5 tỷ 100 triệu,"Quận Hai Bà Trưng, Hà Nội",31/08/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-moi-dep-ngay-nga-tu-le-thanh-nghi-gan-pho-45m2x5t-nhinh-5-ty-id21145274,Sổ đỏ,93,
"Cực hiếm bán nhà phố Lê Thanh Nghị sầm uất, full nội thất nhỉnh 2 tỷ",21 m2 3 PN 3 WC,2 tỷ 100 triệu,"Quận Hai Bà Trưng, Hà Nội",31/08/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/cuc-hiem-ban-nha-pho-le-thanh-nghi-sam-uat-full-noi-that-nhinh-2-ty-id21034687,Sổ đỏ,94,
"Nhà hiếm Tạ Quang Bửu 68m 10 phòng gần đại học lớn, kinh doanh đỉnh",68 m2 10 PN 5 WC,8 tỷ 350 triệu,"Quận Hai Bà Trưng, Hà Nội",31/08/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/nha-hiem-ta-quang-bu-u-68m-10-phong-gan-dai-hoc-lon-kinh-doanh-dinh-id21387679,Sổ đỏ,95,
"Bán nhà phố Tạ Quang Bửu, 39m2x5T, cách đường TQB 20m thoáng trước sau",39 m2 3 PN 4 WC,4 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",25/07/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-ta-quang-buu-39m2x5t-cach-duong-tqb-20m-thoang-truoc-sau-id21343607,Sổ đỏ,96,
"Bán nhà Trần Đại Nghĩa, 55M2*5 TẦNG, 5.5 TỶ, ô tô cách 40m",55 m2 6 PN 4 WC,5 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",10/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-tran-dai-nghia-55m2-5-tang-5-5-ty-o-to-cach-40m-id21477457,Sổ đỏ,97,
"Chỉ 1 căn duy nhất TRẦN ĐẠI NGHĨA, 43M2*5 TẦNG, 4.2 tỷ, ngõ thông",43 m2 3 PN 4 WC,4 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",10/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/chi-1-can-duy-nhat-tran-dai-nghia-43m2-5-tang-4-2-ty-ngo-thong-id21476710,Sổ đỏ,98,
"Bán Nhà Lê Thanh Nghị, Trần Đại Nghĩa, 20m Ra Phố",50 m2 8 PN 8 WC,6 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",02/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-le-thanh-nghi-tran-dai-nghia-20m-ra-pho-id21470263,Sổ đỏ,99,
"HIẾM! Nhà P/Lô phố Trần Đại Nghĩa 126m2x4T, mt 11m, Gara. Giá 25.5 tỷ",126 m2 4 PN 4 WC,25 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",30/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-biet-thu-lien-ke/hiem-nha-p-lo-pho-tran-dai-nghia-126m2x4t-mt-11m-gara-gia-25-5-ty-id21490841,Sổ đỏ,100,
"NHÀ MẶT NGÕ PHỐ LÊ THANH NGHỊ - Lô Góc – 40 M2 – 4 Tầng– 6,8 Tỷ",40 m2 5 PN 4 WC,6 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",28/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/nha-mat-ngo-pho-le-thanh-nghi-lo-goc-40-m2-4-tang-6-8-ty-id21468338,Sổ đỏ,101,
Ngõ ô tô tránh | 24.5 tỷ | Phố Lê Thanh Nghị giao với Giải Phóng-B.Mai,160 m2 7 PN 0 WC,24 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",18/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ngo-o-to-tranh-24-5-ty-pho-le-thanh-nghi-giao-voi-giai-phong-b-mai-id21476740,Sổ đỏ,102,
Ngõ ô tô tránh | 36.4 tỷ | Phố Lê Thanh Nghị giao với Giải Phóng-B.Mai,160 m2 5 PN 0 WC,36 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",18/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ngo-o-to-tranh-36-4-ty-pho-le-thanh-nghi-giao-voi-giai-phong-b-mai-id21476733,Sổ đỏ,103,
Ngõ ô tô đỗ cửa | 9 tỷ | Phố Lê Thanh Nghị giao Giải Phóng - Bạch Mai,58 m2 4 PN 0 WC,9 tỷ,"Quận Hai Bà Trưng, Hà Nội",18/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ngo-o-to-do-cua-9-ty-pho-le-thanh-nghi-giao-giai-phong-bach-mai-id21474457,Sổ đỏ,104,
Cần bán nhà diện tích 38m x 4 tầng - Khu vực Lê Thanh Nghị - Gía 3 tỷ,40 m2 3 PN 3 WC,3 tỷ,"Quận Hai Bà Trưng, Hà Nội",04/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/can-ban-nha-dien-tich-38m-x-4-tang-khu-vuc-le-thanh-nghi-gia-3-ty-id21468472,Sổ đỏ,105,
"Ngõ 67 - Cần bán nhà diện tích 40m x 5 tầng, Lê Thanh Nghị. Gía 3 tỷ",40 m2 3 PN 3 WC,3 tỷ,"Quận Hai Bà Trưng, Hà Nội",04/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ngo-67-can-ban-nha-dien-tich-40m-x-5-tang-le-thanh-nghi-gia-3-ty-id21468438,Sổ đỏ,106,
"Bán nhà Tạ Quang Bửu, Bách Khoa. Ô tô, 2 mặt ngõ DT 46m2 x3T MT4.8m",46 m2 3 PN 3 WC,7 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",02/12/2021,https://mogi.vn/quan-hai-ba-trung/mua-duong-noi-bo/ban-nha-ta-quang-buu-bach-khoa-o-to-2-mat-ngo-dt-46m2-x3t-mt4-8m-id21466313,Sổ đỏ,107,
"Bán tòa Chung Cư Mi Ni, Lê Thanh NHị, Hai Bà Trưng,75m2-6 tầng,10.6 ty",75 m2 11 PN 12 WC,10 tỷ 600 triệu,"Quận Hai Bà Trưng, Hà Nội",27/11/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-toa-chung-cu-mi-ni-le-thanh-nhi-hai-ba-trung-75m2-6-tang-10-6-ty-id21461338,Sổ đỏ,108,
"Bán nhà phố Lê Thanh Nghị 45m2 - 3,5 tỷ - Ô tô tránh",45 m2 4 PN 4 WC,3 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",25/11/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-pho-le-thanh-nghi-45m2-3-5-ty-o-to-tranh-id21458610,Sổ đỏ,109,
[Cực hiếm] bán nhà phố tạ quang bửu - phân lô cán bộ -tiện ích đầy,33 m2 3 PN 3 WC,4 tỷ 600 triệu,"Quận Hai Bà Trưng, Hà Nội",04/11/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/cuc-hiem-ban-nha-pho-ta-quang-buu-phan-lo-can-bo-tien-ich-day-id21435077,Sổ đỏ,110,
"Nhà Trần Khát Chân 62m2x5 tầng thang máy, MT 6m, 50m ra phố, nội t",62 m2 4 PN 4 WC,8 tỷ 400 triệu,"Quận Hai Bà Trưng, Hà Nội",13/10/2021,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nha-tran-khat-chan-62m2x5-tang-thang-may-mt-6m-50m-ra-pho-noi-t-id21413672,Sổ đỏ,111,
"Nhà MP Lê Thanh Nghị, mt 5.2m, 4 tầng, KD đỉnh, 14.5 tỷ",35 m2 2 PN 3 WC,14 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nha-mp-le-thanh-nghi-mt-5-2m-4-tang-kd-dinh-14-5-ty-id21445656,Sổ đỏ,112,
"Bán nhà MP Lê Thanh Nghị, mt 7m, lô góc, 5 tầng, KD đỉnh, 18.5 tỷ",43 m2 4 PN 4 WC,18 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mp-le-thanh-nghi-mt-7m-lo-goc-5-tang-kd-dinh-18-5-ty-id21455774,Sổ đỏ,113,
"Bán nhà Tạ Quang Bửu, ô tô tránh, KD đỉnh, 4 tầng, mt 4,5m, 43m2, 14.8",43 m2 4 PN 3 WC,14 tỷ 800 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-ta-quang-buu-o-to-tranh-kd-dinh-4-tang-mt-4-5m-43m2-14-8-id21455769,Sổ đỏ,114,
"Bán nhà MP Lê Thanh Nghị, mt 5.2m, 4 tầng. KD đỉnh, 14.5 tỷ",38 m2 2 PN 3 WC,14 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mp-le-thanh-nghi-mt-5-2m-4-tang-kd-dinh-14-5-ty-id21455776,Sổ đỏ,115,
"Bán tòa nhà Lê Thanh Nghị, 71m2, 6 tầng, thang máy, gần phố, 10.9 tỷ",71 m2 11 PN 12 WC,10 tỷ 900 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-toa-nha-le-thanh-nghi-71m2-6-tang-thang-may-gan-pho-10-9-ty-id21430458,Sổ đỏ,116,
"Nhà đẹp, hiếm Tạ Quang Bửu, cách phố 20m, 5 tầng, 30m2, 3.65 tỷ",30 m2 3 PN 4 WC,3 tỷ 650 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/nha-dep-hiem-ta-quang-buu-cach-pho-20m-5-tang-30m2-3-65-ty-id21455765,Sổ đỏ,117,
Lợn Đẻ Trứng Vàng 40tr/tháng! Bán nhà Phố Trần Đại Nghĩa 12 phòng khép,68 m2 12 PN 12 WC,6 tỷ,"Quận Hai Bà Trưng, Hà Nội",14/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/lon-de-trung-vang-40tr-thang-ban-nha-pho-tran-dai-nghia-12-phong-khep-id21417240,Sổ đỏ,118,
Phân lô Bách Khoa 45mx5T-Ngõ thông-Ô tô vào nhà-5m ra ô tô tránh,45 m2 5 PN 5 WC,6 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",14/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/phan-lo-bach-khoa-45mx5t-ngo-thong-o-to-vao-nha-5m-ra-o-to-tranh-id21474667,Sổ đỏ,119,
Tòa 13 căn hộ Phố Lê Thanh Nghị-7 Tầng-Thang máy-Hiệu suất 900tr/năm,80 m2 13 PN 13 WC,11 tỷ,"Quận Hai Bà Trưng, Hà Nội",14/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/toa-13-can-ho-pho-le-thanh-nghi-7-tang-thang-may-hieu-suat-900tr-nam-id21426785,Sổ đỏ,120,
"Nhà MP Lê Thanh Nghị, mt 6.8m, thoáng trước sau, 8 phòng, 5 tầng, 29 t",85 m2 8 PN 4 WC,29 tỷ,"Quận Hai Bà Trưng, Hà Nội",12/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nha-mp-le-thanh-nghi-mt-6-8m-thoang-truoc-sau-8-phong-5-tang-29-t-id21445663,Sổ đỏ,121,
"Nhà MP Trần Đại Nghĩa, mt 5m, lô góc, 4 tầng, 40m2, 14.5 tỷ",40 m2 2 PN 3 WC,14 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",12/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nha-mp-tran-dai-nghia-mt-5m-lo-goc-4-tang-40m2-14-5-ty-id21445666,Sổ đỏ,122,
"Rất hiếm! TRẦN ĐẠI NGHĨA 65M2*5 TẦNG, giá tốt, nhà đẹp, ở luôn",60 m2 6 PN 4 WC,5 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",10/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/rat-hiem-tran-dai-nghia-65m2-5-tang-gia-tot-nha-dep-o-luon-id21480268,Sổ đỏ,123,
"Bán nhanh Trần Đại Nghĩa, 60M2*5 TẦNG, 5.3 TỶ, ô tô cách 50m",60 m2 6 PN 4 WC,5 tỷ 300 triệu,"Quận Hai Bà Trưng, Hà Nội",10/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nhanh-tran-dai-nghia-60m2-5-tang-5-3-ty-o-to-cach-50m-id21480260,Sổ đỏ,124,
"Siêu hiếm! Lê Thanh Ngị, 43M2*4 TẦNG, 6.6 TỶ, lô góc, ngõ thông",43 m2 4 PN 4 WC,6 tỷ 600 triệu,"Quận Hai Bà Trưng, Hà Nội",10/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/sieu-hiem-le-thanh-ngi-43m2-4-tang-6-6-ty-lo-goc-ngo-thong-id21479141,Sổ đỏ,125,
"Siêu hiếm! Lê Thanh Nghị, 43M2*4 TẦNG, 6.6 TỶ, lô góc, ngõ thông",43 m2 3 PN 4 WC,6 tỷ 600 triệu,"Quận Hai Bà Trưng, Hà Nội",10/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/sieu-hiem-le-thanh-nghi-43m2-4-tang-6-6-ty-lo-goc-ngo-thong-id21477952,Sổ đỏ,126,
"Bán gấp tt bách khoa - tạ quang bửu giá 1.38 tỷ, 60m2",60 m2 2 PN 1 WC,1 tỷ 380 triệu,"Quận Hai Bà Trưng, Hà Nội",25/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-gap-tt-bach-khoa-ta-quang-buu-gia-1-38-ty-60m2-id21510110,Sổ đỏ,127,
"Bán nhà Tạ Quang Bửu, 100m2, 4 tầng, mt 6m, ô tô vào, 19 tỷ",100 m2 4 PN 3 WC,19 tỷ,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-ta-quang-buu-100m2-4-tang-mt-6m-o-to-vao-19-ty-id21430491,Sổ đỏ,128,
"Nhà Lê Thanh Nghị, cách phố 30m, 4 tầng, 43m2, 5.2 tỷ",43 m2 4 PN 3 WC,5 tỷ 200 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/nha-le-thanh-nghi-cach-pho-30m-4-tang-43m2-5-2-ty-id21456637,Sổ đỏ,129,
"Bán nhà Lê Thanh Nghị, lô góc, KD tốt, ngõ 4m, 6 tầng, 50m2, 7.45 tỷ",50 m2 4 PN 4 WC,7 tỷ 450 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-hem-ngo/ban-nha-le-thanh-nghi-lo-goc-kd-tot-ngo-4m-6-tang-50m2-7-45-ty-id21455772,Sổ đỏ,130,
"Bán nhà MP Trần Đại Nghĩa, mt 5m, 4 tầng, 40m2, KD đỉnh, 14.5 tỷ.",40 m2 3 PN 3 WC,14 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/ban-nha-mp-tran-dai-nghia-mt-5m-4-tang-40m2-kd-dinh-14-5-ty-id21455805,Sổ đỏ,131,
"Nhà phố Lê Thanh Nghị, lô góc, mt 4.7m, KD tốt, 37m2, 4 tầng, 10.5 tỷ",37 m2 3 PN 3 WC,10 tỷ 500 triệu,"Quận Hai Bà Trưng, Hà Nội",16/01/2022,https://mogi.vn/quan-hai-ba-trung/mua-nha-mat-tien-pho/nha-pho-le-thanh-nghi-lo-goc-mt-4-7m-kd-tot-37m2-4-tang-10-5-ty-id21445658,Sổ đỏ,132,
